0.000000000000000000e+00 0.000000000000000000e+00 9.999999997725000922e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999997725000922e-01
5.000000000000000104e-03 1.291649787262689769e-07 9.975210533668610324e-01 7.926607195965099600e-06 2.203856102831600137e-03 1.578168944156959881e-04 1.092176400471180022e-04 9.999999997763301396e-01
1.000000000000000021e-02 3.806376668180400182e-07 9.946329346414000128e-01 2.210504393823399798e-05 4.892415046662100184e-03 3.008973118382010431e-04 1.512670948695559912e-04 9.999999997763748816e-01
1.499999999999999944e-02 6.086214895086899854e-07 9.943930029800599479e-01 3.559797729931619937e-05 5.235604730404339914e-03 2.401063947259700034e-04 9.507907155199299767e-05 9.999999997755311121e-01
2.000000000000000042e-02 7.721759736808600914e-07 9.958540577407830607e-01 4.647077526530879877e-05 3.808703156245700060e-03 1.164314478111380083e-04 1.735644725685280042e-04 9.999999997686475073e-01
2.500000000000000139e-02 1.163809782248499873e-06 9.973579537546579665e-01 5.717211023482400280e-05 2.197726419736790136e-03 1.111221789059660078e-04 2.748614976602140329e-04 9.999999997709779764e-01
2.999999999999999889e-02 1.828952582140199965e-06 9.977436516189370774e-01 7.504747920310000009e-05 1.721829657613440073e-03 2.607705251266099599e-04 1.968715409256860177e-04 9.999999997743881375e-01
3.499999999999999639e-02 2.366190494347399902e-06 9.969377771866899662e-01 9.965041382495299326e-05 2.448910637768900080e-03 4.080061775314400524e-04 1.032891635819959916e-04 9.999999997698916232e-01
4.000000000000000083e-02 2.732534753316899862e-06 9.960761228246899357e-01 1.184546580576449843e-04 3.269388902842689740e-03 4.135729273929939593e-04 1.197279246993670051e-04 9.999999997724359213e-01
4.499999999999999833e-02 3.100580466273599779e-06 9.959150266957900177e-01 1.284981903541500064e-04 3.487380768736759572e-03 3.524819806905729949e-04 1.135115519527859986e-04 9.999999997679905883e-01
5.000000000000000278e-02 3.765444477887999975e-06 9.963213054528899937e-01 1.400880883657380034e-04 3.092829643917299753e-03 3.673954813686899326e-04 7.461566525068200496e-05 9.999999997762702986e-01
5.500000000000000028e-02 4.726999025273000386e-06 9.967866903819929680e-01 1.573364747076499786e-04 2.483992296470649650e-03 4.512803705693999566e-04 1.159732481618110019e-04 9.999999997709277944e-01
5.999999999999999778e-02 5.664940428539000390e-06 9.968801477837689884e-01 1.807546231866800056e-04 2.257213007744319610e-03 5.185639672151200500e-04 1.576554518130289734e-04 9.999999997741566560e-01
6.500000000000000222e-02 6.398705431444000421e-06 9.966894836371500421e-01 2.059834160232499982e-04 2.458615397812999922e-03 5.147665594818459948e-04 1.247520543101180086e-04 9.999999997702097021e-01
6.999999999999999278e-02 7.007311638973999683e-06 9.963816952220400092e-01 2.209416597237099853e-04 2.817431037473500013e-03 4.593668305506239959e-04 1.135577073161850032e-04 9.999999997687428754e-01
7.499999999999999722e-02 7.815162803566999626e-06 9.960954912749420131e-01 2.257433138855699983e-04 3.097588331960600145e-03 4.335442195975799831e-04 1.398174740148870002e-04 9.999999997772043292e-01
8.000000000000000167e-02 8.971172266700999971e-06 9.961930703175849722e-01 2.348127220428700070e-04 2.954153954193960117e-03 4.844413928660900345e-04 1.245502159296079801e-04 9.999999997748841851e-01
8.500000000000000611e-02 1.018001670646999929e-05 9.965346449732009892e-01 2.535050618929699765e-04 2.548725089855730010e-03 5.543359388805900109e-04 9.860869303956000043e-05 9.999999997735762314e-01
8.999999999999999667e-02 1.122767751921999856e-05 9.966410348177399126e-01 2.761130178845600208e-04 2.390984607571200026e-03 5.765345744402900060e-04 1.041050747236859996e-04 9.999999997698788556e-01
